date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:33	30138/30138	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:25:05%20GMT	https://preview.colorlib.com/theme/knuford/	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/index.html	(from )
18:22:34	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
18:22:34	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	B:/MD%20ALAUDDIN/mdalauddin/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/knuford/)
18:22:34	46591/46591	---M-Z	200	added ('OK')	text/css	etag:%225eb03eae-b5ff%22	https://cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	B:/MD%20ALAUDDIN/mdalauddin/cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	(from https://preview.colorlib.com/theme/knuford/)
18:22:35	53553/53553	---M-Z	200	added ('OK')	text/css	etag:%22d131-5c1f9d1ccc8c4-gzip%22	https://preview.colorlib.com/theme/knuford/css/animate.css	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/css/animate.css	(from https://preview.colorlib.com/theme/knuford/)
18:22:36	1290/1290	---M-Z	200	added ('OK')	text/css	etag:%2250a-5c1f9d1ccd864-gzip%22	https://preview.colorlib.com/theme/knuford/css/flaticon.css	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/css/flaticon.css	(from https://preview.colorlib.com/theme/knuford/)
18:22:36	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5c21d0417cab3-gzip%22	https://preview.colorlib.com/theme/knuford/css/tiny-slider.css	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/css/tiny-slider.css	(from https://preview.colorlib.com/theme/knuford/)
18:22:36	8815/8815	---M-Z	200	added ('OK')	text/css	etag:%22226f-5c1f9d1ccd864-gzip%22	https://preview.colorlib.com/theme/knuford/css/glightbox.min.css	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/css/glightbox.min.css	(from https://preview.colorlib.com/theme/knuford/)
18:22:38	5717/5717	---M-Z	200	added ('OK')	text/css	etag:%221655-5c1f9d1ccc8c4-gzip%22	https://preview.colorlib.com/theme/knuford/css/aos.css	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/css/aos.css	(from https://preview.colorlib.com/theme/knuford/)
18:22:38	72994/72994	---M-Z	200	added ('OK')	text/css	etag:%2211d22-5c1f9d1ccd864-gzip%22	https://preview.colorlib.com/theme/knuford/css/style.css	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/css/style.css	(from https://preview.colorlib.com/theme/knuford/)
